This is the initial State
0 |  A  B  C  D  E 
1 |  L  I  O  X 
2 |  P  U 
3 |  T  S  M  G  F  H  V  Z 
4 |  W  R  N  J  Y  K  Q 
The Below trace is for Custom Heuristic function

Iteration Number= 1 Frontier Size= 0 f=g+h= -105 depth= 0
Iteration Number= 2 Frontier Size= 19 f=g+h= -111 depth= 1
Iteration Number= 3 Frontier Size= 34 f=g+h= -111 depth= 1
Iteration Number= 4 Frontier Size= 49 f=g+h= -111 depth= 1
Iteration Number= 5 Frontier Size= 64 f=g+h= -110 depth= 2
Iteration Number= 6 Frontier Size= 79 f=g+h= -116 depth= 3
Iteration Number= 7 Frontier Size= 94 f=g+h= -143 depth= 4
Iteration Number= 8 Frontier Size= 109 f=g+h= -143 depth= 4
Iteration Number= 9 Frontier Size= 124 f=g+h= -142 depth= 5
Iteration Number= 10 Frontier Size= 138 f=g+h= -142 depth= 5
Iteration Number= 11 Frontier Size= 152 f=g+h= -142 depth= 5
Iteration Number= 12 Frontier Size= 163 f=g+h= -142 depth= 5
Iteration Number= 13 Frontier Size= 177 f=g+h= -155 depth= 6
Iteration Number= 14 Frontier Size= 192 f=g+h= -154 depth= 7
Iteration Number= 15 Frontier Size= 206 f=g+h= -154 depth= 7
Iteration Number= 16 Frontier Size= 221 f=g+h= -154 depth= 7
Iteration Number= 17 Frontier Size= 236 f=g+h= -153 depth= 8
Iteration Number= 18 Frontier Size= 251 f=g+h= -159 depth= 9
Iteration Number= 19 Frontier Size= 266 f=g+h= -158 depth= 10
Iteration Number= 20 Frontier Size= 281 f=g+h= -158 depth= 10
Iteration Number= 21 Frontier Size= 295 f=g+h= -158 depth= 10
Iteration Number= 22 Frontier Size= 310 f=g+h= -157 depth= 11
Iteration Number= 23 Frontier Size= 325 f=g+h= -157 depth= 11
Iteration Number= 24 Frontier Size= 340 f=g+h= -157 depth= 11
Iteration Number= 25 Frontier Size= 355 f=g+h= -157 depth= 11
Iteration Number= 26 Frontier Size= 370 f=g+h= -156 depth= 12
Iteration Number= 27 Frontier Size= 384 f=g+h= -156 depth= 12
Iteration Number= 28 Frontier Size= 399 f=g+h= -156 depth= 12
Iteration Number= 29 Frontier Size= 410 f=g+h= -156 depth= 12
Iteration Number= 30 Frontier Size= 425 f=g+h= -156 depth= 12
Iteration Number= 31 Frontier Size= 440 f=g+h= -156 depth= 12
Iteration Number= 32 Frontier Size= 455 f=g+h= -155 depth= 13
Iteration Number= 33 Frontier Size= 469 f=g+h= -155 depth= 13
Iteration Number= 34 Frontier Size= 484 f=g+h= -155 depth= 13
Iteration Number= 35 Frontier Size= 495 f=g+h= -155 depth= 13
Iteration Number= 36 Frontier Size= 510 f=g+h= -155 depth= 13
Iteration Number= 37 Frontier Size= 525 f=g+h= -155 depth= 13
Iteration Number= 38 Frontier Size= 540 f=g+h= -154 depth= 14
Iteration Number= 39 Frontier Size= 555 f=g+h= -154 depth= 14
Iteration Number= 40 Frontier Size= 570 f=g+h= -154 depth= 14
Iteration Number= 41 Frontier Size= 585 f=g+h= -154 depth= 14
Iteration Number= 42 Frontier Size= 600 f=g+h= -154 depth= 14
Iteration Number= 43 Frontier Size= 614 f=g+h= -154 depth= 14
Iteration Number= 44 Frontier Size= 625 f=g+h= -160 depth= 15
Iteration Number= 45 Frontier Size= 640 f=g+h= -159 depth= 16
Iteration Number= 46 Frontier Size= 655 f=g+h= -159 depth= 16
Iteration Number= 47 Frontier Size= 669 f=g+h= -159 depth= 16
Iteration Number= 48 Frontier Size= 684 f=g+h= -158 depth= 17
Iteration Number= 49 Frontier Size= 699 f=g+h= -158 depth= 17
Iteration Number= 50 Frontier Size= 714 f=g+h= -158 depth= 17
Iteration Number= 51 Frontier Size= 729 f=g+h= -158 depth= 17
Iteration Number= 52 Frontier Size= 744 f=g+h= -157 depth= 18
Iteration Number= 53 Frontier Size= 759 f=g+h= -157 depth= 18
Iteration Number= 54 Frontier Size= 774 f=g+h= -157 depth= 18
Iteration Number= 55 Frontier Size= 788 f=g+h= -157 depth= 18
Iteration Number= 56 Frontier Size= 799 f=g+h= -157 depth= 18
Iteration Number= 57 Frontier Size= 814 f=g+h= -157 depth= 18
Iteration Number= 58 Frontier Size= 829 f=g+h= -156 depth= 19
Iteration Number= 59 Frontier Size= 844 f=g+h= -156 depth= 19
Iteration Number= 60 Frontier Size= 859 f=g+h= -156 depth= 19
Iteration Number= 61 Frontier Size= 873 f=g+h= -156 depth= 19
Iteration Number= 62 Frontier Size= 888 f=g+h= -156 depth= 19
Iteration Number= 63 Frontier Size= 899 f=g+h= -156 depth= 19
Iteration Number= 64 Frontier Size= 914 f=g+h= -155 depth= 20
Iteration Number= 65 Frontier Size= 929 f=g+h= -155 depth= 20
Iteration Number= 66 Frontier Size= 944 f=g+h= -155 depth= 20
Iteration Number= 67 Frontier Size= 959 f=g+h= -155 depth= 20
Iteration Number= 68 Frontier Size= 974 f=g+h= -155 depth= 20
Iteration Number= 69 Frontier Size= 989 f=g+h= -155 depth= 20
Iteration Number= 70 Frontier Size= 1004 f=g+h= -154 depth= 21
Iteration Number= 71 Frontier Size= 1019 f=g+h= -154 depth= 21
Iteration Number= 72 Frontier Size= 1034 f=g+h= -154 depth= 21
Iteration Number= 73 Frontier Size= 1049 f=g+h= -154 depth= 21
Iteration Number= 74 Frontier Size= 1064 f=g+h= -154 depth= 21
Iteration Number= 75 Frontier Size= 1079 f=g+h= -154 depth= 21
Iteration Number= 76 Frontier Size= 1094 f=g+h= -154 depth= 21
Iteration Number= 77 Frontier Size= 1109 f=g+h= -154 depth= 21
Iteration Number= 78 Frontier Size= 1124 f=g+h= -153 depth= 22
